Team,Date,Time,Day,Venue,Result,GF,GA,Opponent
Yinz United,2024-09-22,20:00,Sunday,Home,L,2,3,Aegean Hawks FC
Yinz United,2024-09-29,18:00,Sunday,Away,W,3,1,Estudiantes
Yinz United,2024-10-06,18:00,Sunday,Home,D,2,2,Great Falls
Yinz United,2024-10-13,18:00,Sunday,Away,W,6,1,All Boys United
Yinz United,2024-10-20,20:00,Sunday,Away,D,1,1,Arlington FC
Yinz United,2024-10-27,20:00,Sunday,Away,W,4,2,World Class Premier
Yinz United,2024-11-03,20:00,Sunday,Home,W,4,0,North Starz
Yinz United,2024-11-17,20:00,Sunday,Home,W,2,1,World Class Premier
Yinz United,2024-11-24,20:00,Sunday,Away,W,2,0,Aegean Hawks FC
Yinz United,2024-12-08,19:30,Sunday,Home,L,0,2,Los Toros
